#Reference File (rms1.dat)
#The script comp_rms_1.py ouputs values of the Root Mean Square
#deviation of the atoms from the initial structure along the MD
#trajectory
#
#Note this file is for a shorter trajectory, so use this only as a
#reference for the rms1.dat file created in Exercise 1 of the MD
#tutorial.

time   rms
 0.000     0.749 
 0.010     0.766 
 0.020     0.797 
 0.030     0.822 
 0.040     0.831 
 0.050     0.850 
 0.060     0.878 
 0.070     0.901 
 0.080     0.911 
 0.090     0.935 
 0.100     0.950 
 0.110     0.972 
 0.120     1.006 
 0.130     1.025 
 0.140     1.044 
 0.150     1.059 
 0.160     1.082 
 0.170     1.069 
 0.180     1.083 
 0.190     1.085 
 0.200     1.090 
 0.210     1.094 
 0.220     1.113 
 0.230     1.110 
 0.240     1.114 
 0.250     1.132 
 0.260     1.136 
 0.270     1.149 
 0.280     1.149 
 0.290     1.145 
 0.300     1.151 
 0.310     1.161 
 0.320     1.146 
 0.330     1.137 
 0.340     1.135 
 0.350     1.131 
 0.360     1.103 
 0.370     1.099 
 0.380     1.083 
 0.390     1.062 
 0.400     1.049 
 0.410     1.043 
 0.420     1.015 
 0.430     0.988 
 0.440     0.970 
 0.450     0.944 
 0.460     0.932 
 0.470     0.921 
 0.480     0.909 
 0.490     0.887 
 0.500     0.870 
 0.510     0.838 
 0.520     0.816 
 0.530     0.802 
 0.540     0.782 
 0.550     0.773 
 0.560     0.779 
 0.570     0.772 
 0.580     0.747 
 0.590     0.732 
 0.600     0.721 
 0.610     0.699 
 0.620     0.696 
 0.630     0.692 
 0.640     0.681 
 0.650     0.684 
 0.660     0.687 
 0.670     0.653 
 0.680     0.638 
 0.690     0.622 
 0.700     0.602 
 0.710     0.577 
 0.720     0.582 
 0.730     0.570 
 0.740     0.567 
 0.750     0.563 
 0.760     0.554 
 0.770     0.544 
 0.780     0.529 
 0.790     0.530 
 0.800     0.525 
 0.810     0.547 
 0.820     0.567 
 0.830     0.577 
 0.840     0.567 
 0.850     0.564 
 0.860     0.532 
 0.870     0.510 
 0.880     0.493 
 0.890     0.462 
 0.900     0.421 
 0.910     0.422 
 0.920     0.405 
 0.930     0.395 
 0.940     0.346 
 0.950     0.296 
 0.960     0.224 
 0.970     0.177 
 0.980     0.128 
 0.990     0.000 
 1.000     0.000 
