 NAME NORB NELEC  NPQ   ZETAS     ZETAP     ZETAD    ZETAD2    DZCOEF    DZCOEF2
   H  1  1  0  0  1    1.20000    .00000    .00000    .00000    .00000    .00000
#  He  1  2  0  0  1
  Li  4  1  0  0  2     .63960    .63960    .00000    .00000    .00000    .00000
  Be  4  2  0  0  2     .95600    .95600    .00000    .00000    .00000    .00000
   B  4  2  1  0  2    1.28810   1.21070    .00000    .00000    .00000    .00000
   C  4  2  2  0  2    1.60830   1.56790    .00000    .00000    .00000    .00000
   N  4  2  3  0  2    1.92370   1.91700    .00000    .00000    .00000    .00000
   O  4  2  4  0  2    2.24580   2.22660    .00000    .00000    .00000    .00000
   F  4  2  5  0  2    2.56380   2.55000    .00000    .00000    .00000    .00000
#  Ne  4  2  6  0  2
  Na  4  1  0  0  3     .83580    .83580    .00000    .00000    .00000    .00000
  Mg  4  2  0  0  3    1.10250   1.10250    .00000    .00000    .00000    .00000
  Al  4  2  1  0  3    1.37240   1.35520    .00000    .00000    .00000    .00000
  Si  4  2  2  0  3    1.63440   1.42840    .00000    .00000    .00000    .00000
   P  4  2  3  0  3    1.88060   1.62880    .00000    .00000    .00000    .00000
   S  4  2  4  0  3    2.12230   1.82730    .00000    .00000    .00000    .00000
  Cl  4  2  5  0  3    2.35610   2.03870    .00000    .00000    .00000    .00000
#  Ar  4  2  6  0  3
   K  4  1  0  0  4     .87380    .87380    .00000    .00000    .00000    .00000
  Ca  4  2  0  0  4    1.09950   1.09950    .00000    .00000    .00000    .00000
# Sc  9  2  0  1  4    1.15810   1.15810   2.37330    .00000    .00000    .00000
  Sc  9  2  0  1  4    1.62134   1.62134   2.37330    .00000    .00000    .00000
# Ti  9  2  0  2  4    1.20000   1.20000   4.55000   1.40000    .42060    .78390
  Ti  9  2  0  2  4    1.68000   1.68000   4.55000   1.40000    .42060    .78390
#  V  9  2  0  3  4    1.25000   1.25000   4.75000   1.50000    .45580    .75160
   V  9  2  0  3  4    1.75000   1.75000   4.75000   1.50000    .45580    .75160
# Cr  9  2  0  4  4    1.30000   1.30000   4.95000   1.60000    .48760    .72050
  Cr  9  2  0  4  4    1.82000   1.82000   4.95000   1.60000    .48760    .72050
# Mn  9  2  0  5  4    1.35000   1.35000   5.15000   1.70000    .51390    .69290
  Mn  9  2  0  5  4    1.89000   1.89000   5.15000   1.70000    .51390    .69290
# Fe  9  2  0  6  4    1.40000   1.40000   5.35000   1.80000    .53660    .66780
  FE  9  2  0  6  4    1.96000   1.96000   4.5475    1.53       .53660    .6678 
# Co  9  2  0  7  4    1.45000   1.45000   5.55000   1.90000    .55510    .64610
  Co  9  2  0  7  4    2.03000   2.03000   5.55000   1.90000    .55510    .64610
# Ni  9  2  0  8  4    1.50000   1.50000   5.75000   2.00000    .56830    .62920
  Ni  9  2  0  8  4    2.10000   2.10000   5.75000   2.00000    .56830    .62920
# Cu  9  1  0 10  4    1.55000   1.55000   5.95000   2.30000    .59330    .57440
  Cu  9  1  0 10  4    2.17000   2.17000   5.95000   2.30000    .59330    .57440
# Zn  9  2  0 10  4    1.60000   1.60000   4.62610    .00000    .00000    .00000
  Zn  9  2  0 10  4    2.24000   2.24000   4.62610    .00000    .00000    .00000
  Ga  4  2  1  0  4    1.76670   1.55540    .00000    .00000    .00000    .00000
  Ge  4  2  2  0  4    2.01090   1.69510    .00000    .00000    .00000    .00000
  As  4  2  3  0  4    2.23600   1.86230    .00000    .00000    .00000    .00000
  Se  4  2  4  0  4    2.43940   2.07180    .00000    .00000    .00000    .00000
  Br  4  2  5  0  4    2.63820   2.25700    .00000    .00000    .00000    .00000
#  Kr  4  2  6  0  4
  Rb  4  1  0  0  5     .99690    .99690    .00000    .00000    .00000    .00000
  Sr  4  2  0  0  5    1.21410   1.21410    .00000    .00000    .00000    .00000
   Y  9  2  0  1  5    1.25120   1.25120   3.98960    .00000    .00000    .00000
  Zr  9  2  0  2  5    1.81700   1.77600   3.83500   1.50500    .62110    .57960
  Nb  9  1  0  4  5    1.88900   1.85200   4.08000   1.63700    .64040    .55190
  MO  9  1  0  5  5    1.95600   1.92100   4.54200   1.90100    .58990    .58990
  Tc  9  2  0  5  5    2.01800   1.98400   4.90000   2.09400    .57150    .60120
  Ru  9  1  0  7  5    2.07800   2.04300   5.37800   2.30300    .53400    .63650
  Rh  9  1  0  8  5    2.13500   2.09900   5.54200   2.39800    .55630    .61190
  Pd  9  0  0 10  5    2.19000   2.15200   5.98300   2.61300    .52640    .63730
  Ag  9  1  0 10  5    2.24400   2.20200   6.07000   2.66300    .55910    .60480
  Cd  4  2  0  0  5    1.63840   1.63840    .00000    .00000    .00000    .00000
